what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331116405194
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331116405353
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331116405845
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331116405871
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331116405897
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331116405931
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331116405965
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331116410416
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331116410598
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331116411078
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331116411107
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331116411139
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331116411165
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331116411200
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331116411228
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331116411264
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331116420994
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331116421418
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331116421610
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331116423005
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331116464436
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331116468668
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331116474495
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331116487176
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331116534805
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331116552651
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1331116556579
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331116560798
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331116641017
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331116641255
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331116641310
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331116713726
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331116716630
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331116739769
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331116782351
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331116790580
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331116791433
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331116792708
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331116798240
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331116812604
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331116812728
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331116814396
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1331116857654
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331116859482
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331116866206
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331116888338
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331119619411
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331119715026
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331119737439
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1331119744557
